City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,motegi,36.5167,140.1833,295.63,78,74,0.3,JP,1690905440
83,ad-damazin,11.7891,34.3592,298.23,77,78,2.79,SD,1690905440
84,horta,38.5333,-28.6333,299.27,80,20,8.75,PT,1690905440
85,blackmans bay,-43.0167,147.3167,279.55,86,68,2.46,AU,1690905446
86,ballina,-28.8667,153.5667,287.47,77,36,4.81,AU,1690905446
87,mangalia,43.8,28.5833,298.06,62,1,4.53,RO,1690905446
88,olonkinbyen,70.9221,-8.7187,280.47,88,13,2.48,SJ,1690905350
89,kievka,50.2619,71.5514,298.55,34,14,2.92,KZ,1690905447
90,ambikapur,23.1167,83.2,297.65,91,100,3.31,IN,1690905447
91,floro,61.5996,5.0328,293.19,72,40,7.2,NO,1690905448
92,coffs harbour,-30.3,153.1333,288.13,77,75,4.12,AU,1690905448
93,forde,61.4522,5.8572,293.56,77,40,1.54,NO,1690905445
94,luderitz,-26.6481,15.1594,291.59,38,0,2.91,,1690905449
95,santa ana,33.7456,-117.8678,299.88,83,75,3.6,US,1690905294
96,callao,-12.0667,-77.15,295.22,68,100,3.6,PE,1690905449
97,fale old settlement,-9.3852,-171.2468,301.34,71,23,7.22,TK,1690905450
98,mariental,-24.6333,17.9667,290.85,12,0,4.37,,1690905450
99,altai,46.3722,96.2583,287.62,63,0,2.75,MN,1690905450
100,poyarkovo,49.6,128.6833,297.03,70,93,2.63,RU,1690905451
101,cockburn town,21.4612,-71.1419,301.99,78,100,6.99,TC,1690905419
102,kalemie,-5.9475,29.1947,298.02,45,100,2.24,CD,1690905451
103,jamestown,42.097,-79.2353,294.57,52,0,2.06,US,1690905451
104,vila do maio,15.1333,-23.2167,299.59,81,41,4.2,CV,1690905452
105,nurabad,34.0734,47.9725,302.06,13,0,3.05,IR,1690905452
106,tual,-5.6667,132.75,299.46,82,81,9.81,ID,1690905452
107,ocean city,39.2776,-74.5746,300.94,62,1,3.58,US,1690905452
108,happy valley-goose bay,53.3168,-60.3315,287.32,88,100,2.06,CA,1690905453
109,lower hutt,-41.2167,174.9167,284.1,95,100,6.17,NZ,1690905453
